brand,detailurl,factory,imgname,modelname,price,CA,asthma,atopy,allergy,CADR,anion,compound,filter,varietyfilter,HEPA,PM,peoung,size
타워,http://www.enuri.com/detail.jsp?modelno=17156968&cate=240616,위닉스,http://photo3.enuri.com/data/images/service/img_300/17156000/17156968.jpg,XQ600 AGX660W-W0,416750,CA인증,,아토피안심인증,,,,복합식,,"프리필터 ,    탈취필터 ,마이크로집진필터",FALSE,,19.9,37 x 79.5 x 37cm
제로2.0,http://www.enuri.com/detail.jsp?modelno=25020544&cate=240616,위닉스,http://photo3.enuri.com/data/images/service/img_300/25020000/25020544.jpg,AZBE380-HWK,217050,CA인증,,아토피안심인증,,,,복합식,,"프리필터 ,    탈취필터 ,마이크로집진필터",FALSE,,11.9,38 x 60 x 20.8cm
퓨리케어,http://www.enuri.com/detail.jsp?modelno=14991837&cate=240616,LG,http://photo3.enuri.com/data/images/service/img_300/14991000/14991837.jpg,AS181DAW,676640,CA인증,천식협회인증,,알레르기협회인증,,,복합식,,"극세필터,토탈알러지집진필터,토탈유해가스필터",FALSE,PM1.0,17.5,36 x 59.7 x 36cm
퓨리케어,http://www.enuri.com/detail.jsp?modelno=14991850&cate=240616,LG,http://photo3.enuri.com/data/images/service/img_300/14991000/14991850.jpg,AS281DAW,932680,CA인증,천식협회인증,,알레르기협회인증,,,복합식,,"극세필터,토탈알러지집진필터,토탈유해가스필터",FALSE,PM1.0,27.5,37.3 x 107.3 x 37.3cm
타워,http://www.enuri.com/detail.jsp?modelno=25037914&cate=240616,위닉스,http://photo3.enuri.com/data/images/service/big/25037000/25037914.jpg,ATQE400-HWK,203790,CA인증,,아토피안심인증,,,,복합식,,"프리필터 ,    탈취필터 ,마이크로집진필터",FALSE,,11.9,31 x 75cm
샤오미,http://www.enuri.com/detail.jsp?modelno=14855754&cate=240616,샤오미,http://photo3.enuri.com/data/images/service/img_300/16479000/16479524.jpg,Mi Air Pro,132000,,,,,CADR,,,필터식,"프리필터 ,활성탄필터,    HEPA필터",TRUE,,18.1,26 x 73.5 x 26cm
샤오미,http://www.enuri.com/detail.jsp?modelno=23769291&cate=240616,샤오미,http://photo3.enuri.com/data/images/service/img_300/24001000/24001575.jpg,Mi Air 2S,62420,,,,,CADR,,,필터식,"프리필터 ,활성탄필터,    HEPA필터",TRUE,,11.1,     
큐브,http://www.enuri.com/detail.jsp?modelno=25260482&cate=240616,삼성,http://photo3.enuri.com/data/images/service/big/25260000/25260482.jpg,AX94N9980SSD,1493220,,,,,,,,필터식,"극세필터,    숯탈취필터 ,하이브리드필터",FALSE,PM1.0,28.4,36.7 x 87.2 x 38cm
블루스카이,http://www.enuri.com/detail.jsp?modelno=15494807&cate=240616,삼성,http://photo3.enuri.com/data/images/service/img_300/15494000/15494807.jpg,AX40M3030WMD,213000,CA인증,,,,,,,필터식,"극세필터,    숯탈취필터 ,초미세먼지항균필터",FALSE,PM10,12.1,35 x 64 x 35cm
타워,http://www.enuri.com/detail.jsp?modelno=17156968&cate=240616,위닉스,http://photo3.enuri.com/data/images/service/img_300/17156000/17156968.jpg,XQ600 AGX660W-W0,416750,CA인증,,아토피안심인증,,,,복합식,,"프리필터 ,    탈취필터 ,마이크로집진필터",FALSE,,19.9,37 x 79.5 x 37cm
다이슨,http://www.enuri.com/detail.jsp?modelno=26208615&cate=240616,다이슨,http://image.enuri.gscdn.com/webimage_300/3422400000/3422410000/3422411154.jpg,퓨어쿨(TP-04),770690,,,,,,,,필터식,"활성탄필터,    HEPA필터",TRUE,,,11.7 x 105.4 x 20.6cm
큐브,http://www.enuri.com/detail.jsp?modelno=25260475&cate=240616,삼성,http://photo3.enuri.com/data/images/service/big/25260000/25260475.jpg,AX94N9880WFD,1167750,,,,,,,,필터식,"극세필터,    숯탈취필터 ,하이브리드필터",FALSE,PM1.0,28.4,38 x 87.6 x 38cm
블루스카이,http://www.enuri.com/detail.jsp?modelno=15521691&cate=240616,삼성,http://photo3.enuri.com/data/images/service/img_300/15521000/15521691.jpg,AX60M5550WFD,421000,CA인증,,,,,,복합식,,"극세필터,    숯탈취필터 ,초미세먼지항균필터",FALSE,,18.1,36 x 78.3 x 29.3cm
블루스카이,http://www.enuri.com/detail.jsp?modelno=25900806&cate=240616,삼성,http://photo3.enuri.com/data/images/service/big/25900000/25900806.jpg,AX60N5081WDD,378840,,,,,,,,필터식,"극세필터,    숯탈취필터 ,집진필터",FALSE,PM1.0,18.1,36 x 78.3 x 29.3cm
샤오미,http://www.enuri.com/detail.jsp?modelno=12833782&cate=240616,샤오미,http://photo3.enuri.com/data/images/service/img_300/12794000/12794464.jpg,Mi Air2,44260,,,,,CADR,,,필터식,"프리필터 ,활성탄필터,    HEPA필터",TRUE,,11.7,24 x 52 x 24cm
퓨리케어,http://www.enuri.com/detail.jsp?modelno=22007248&cate=240616,LG,http://photo3.enuri.com/data/images/service/img_300/22007000/22007248.jpg,AS122VDS,251870,CA인증,,,,,,복합식,,"극세필터,토탈알러지집진필터,토탈유해가스필터",FALSE,PM1.0,10.9,47 x 45 x 23cm
제로S,http://www.enuri.com/detail.jsp?modelno=26860198&cate=240616,위닉스,http://image.enuri.gscdn.com/webimage_300/3410300000/3410320000/3410324155.jpg,AZSH400-HWK,206320,CA인증,,아토피안심인증,,,,,필터식,"프리필터 ,    탈취필터 ,마이크로집진필터",FALSE,,11.9,38.4 x 59.4 x 22cm
다이슨,http://www.enuri.com/detail.jsp?modelno=17168949&cate=240616,다이슨,http://photo3.enuri.com/data/images/service/img_300/17168000/17168949.jpg,퓨어쿨 링크(TP-03),616190,,,,,,,,필터식,"활성탄필터,    HEPA필터",TRUE,,,19 x 101.8 x 11cm
에어엔진,http://www.enuri.com/detail.jsp?modelno=10751876&cate=240616,발뮤다,http://photo3.enuri.com/data/images/service/img_300/10751000/10751876.jpg,EJT-1100SD,204000,,,,,,,,필터식,"탈취필터 ,    효소HEPA필터",TRUE,,18.1,25 x 70 x 25cm
블루스카이,http://www.enuri.com/detail.jsp?modelno=24213384&cate=240616,삼성,http://photo3.enuri.com/data/images/service/img_300/24213000/24213384.jpg,AX90N7580WBD,690950,,,,,,,,필터식,"극세필터,    숯탈취필터 ,초미세먼지항균필터",FALSE,PM1.0,27.2,36 x 105.4  x 28.4cm
